iter	MultiClass
401	0.09203928833
402	0.09186086978
403	0.09163763235
404	0.09141685312
405	0.09126849915
406	0.09108335094
407	0.09088372281
408	0.0907502463
409	0.09042899213
410	0.09031765837
411	0.09021656664
412	0.09007278211
413	0.08982843707
414	0.08972702026
415	0.08951192107
416	0.08934386889
417	0.08908124516
418	0.08892341864
419	0.08862522879
420	0.08847607589
421	0.08839991942
422	0.08816982514
423	0.08802654494
424	0.08782673758
425	0.08766378974
426	0.08741543822
427	0.08727873062
428	0.08716687232
429	0.08690592344
430	0.08672134658
431	0.08657353729
432	0.08637838428
433	0.08622484561
434	0.08595739806
435	0.08577823508
436	0.08561594819
437	0.0853531593
438	0.08524283665
439	0.08506928482
440	0.0847789461
441	0.08461845237
442	0.08446838958
443	0.08434302902
444	0.08418170866
445	0.08406430428
446	0.08390777813
447	0.08372724061
448	0.0836519312
449	0.08350691031
450	0.08338712479
451	0.08324431729
452	0.0831584354
453	0.08294165591
454	0.08280982593
455	0.08266225924
456	0.08240269854
457	0.0822946522
458	0.08205599432
459	0.08186347718
460	0.08173056596
461	0.08157673759
462	0.08145409958
463	0.08131789149
464	0.08113481417
465	0.0809594235
466	0.08084436022
467	0.08060012697
468	0.08041513948
469	0.08025179995
470	0.08014227598
471	0.08007044716
472	0.07991879228
473	0.07975237552
474	0.07960824416
475	0.07945127882
476	0.07935226807
477	0.07921646749
478	0.07901148503
479	0.07887981695
480	0.07875015626
481	0.07854618458
482	0.07838266419
483	0.07825439814
484	0.078152274
485	0.0779937459
486	0.07784395196
487	0.0777093768
488	0.07754959418
489	0.07743952997
490	0.07731233497
491	0.07715798523
492	0.07698232704
493	0.07680325382
494	0.07664041478
495	0.07651543034
496	0.07640214986
497	0.07625015354
498	0.07610547944
499	0.07587256783
500	0.07574571824
501	0.07566603826
502	0.07554910794
503	0.07538032373
504	0.07526941444
505	0.07517615089
506	0.07508083149
507	0.07495861698
508	0.07478437381
509	0.07465645334
510	0.07455364136
511	0.07434509709
512	0.07422284852
513	0.07410341791
514	0.07394334206
515	0.07383156148
516	0.07373364748
517	0.07361961574
518	0.07349661361
519	0.07336625733
520	0.07320886654
521	0.07311536378
522	0.07301326253
523	0.07289906044
524	0.0728050353
525	0.07267327533
526	0.07251582671
527	0.07236989598
528	0.07212411611
529	0.07202712793
530	0.07196634171
531	0.07184904173
532	0.07175626562
533	0.07160786617
534	0.07151095513
535	0.07140928591
536	0.07126597111
537	0.07111550062
538	0.07103627833
539	0.07088571891
540	0.07078187013
541	0.07069513698
542	0.07058671933
543	0.07047432834
544	0.0703875539
545	0.07022390564
546	0.07010016347
547	0.06997305498
548	0.06982323903
549	0.06969520369
550	0.0695483107
551	0.06938622488
552	0.06930489608
553	0.06924732601
554	0.069181274
555	0.06908547619
556	0.06897447035
557	0.0688053056
558	0.06871934587
559	0.0686108424
560	0.06854623781
561	0.06846844592
562	0.06841137862
563	0.06825899355
564	0.06819077644
565	0.06805026445
566	0.06791446735
567	0.06780253497
568	0.06769828168
569	0.06760136742
570	0.06748779921
571	0.06740358502
572	0.06726881058
573	0.06713348529
574	0.06701692974
575	0.06692714712
576	0.06678050741
577	0.06672747876
578	0.06662950854
579	0.06648094813
580	0.06638218036
581	0.06627685145
582	0.06613438081
583	0.06607394215
584	0.06601728569
585	0.06593801848
586	0.06575424264
587	0.06567289538
588	0.06558812411
589	0.06544474673
590	0.06534414058
591	0.0652180392
592	0.0650994492
593	0.0650395066
594	0.0649519884
595	0.0648425905
596	0.06468376127
597	0.06460629753
598	0.06445717087
599	0.06438235087
600	0.06430878067
601	0.0641842365
602	0.06396200137
603	0.06392841127
604	0.06381906339
605	0.06372936785
606	0.06360531428
607	0.06349102563
608	0.06343701359
609	0.06335264054
610	0.0632702553
611	0.06319443708
612	0.06311544829
613	0.06302538208
614	0.06292529199
615	0.06283182727
616	0.06268738273
617	0.06261886856
618	0.06254448498
619	0.06239147902
620	0.06222669972
621	0.06213789552
622	0.06205316329
623	0.06196845451
624	0.06188796285
625	0.06179461435
626	0.06172610389
627	0.06164690669
628	0.06159351366
629	0.06151314542
630	0.06142834156
631	0.06131765418
632	0.06122873371
633	0.0611106507
634	0.0609959184
635	0.06094002683
636	0.06087618125
637	0.06082223822
638	0.06067616836
639	0.06062196975
640	0.06049564772
641	0.0603872089
642	0.06026649218
643	0.06013797276
644	0.05998791408
645	0.05990309807
646	0.05978988252
647	0.05972673996
648	0.05960685032
649	0.05953750274
650	0.05943871374
651	0.05933805583
652	0.05927183661
653	0.05920064063
654	0.05906036019
655	0.05898462697
656	0.05887025877
657	0.05881714652
658	0.05872646878
659	0.05859068862
660	0.05847577648
661	0.0584078849
662	0.0582981416
663	0.05820152398
664	0.058107982
665	0.05804958205
666	0.05794442145
667	0.05777600682
668	0.05766490182
669	0.05760061506
670	0.05747522895
671	0.05733963533
672	0.05723025729
673	0.05716914963
674	0.0570902824
675	0.05701318129
676	0.05687688494
677	0.05676460689
678	0.05666670842
679	0.05657488643
680	0.05646013369
681	0.05635677449
682	0.05630026152
683	0.0562436675
684	0.0561793287
685	0.05609564461
686	0.05601998013
687	0.05590501689
688	0.05585633911
689	0.05572955861
690	0.05564155662
691	0.05555296338
692	0.05543981525
693	0.05535344917
694	0.05529669264
695	0.05520831653
696	0.05511409858
697	0.05503896377
698	0.05495624774
699	0.05482748516
700	0.05465472508
701	0.05456865801
702	0.0545102362
703	0.05442086695
704	0.05431109076
705	0.05419009226
706	0.05407989871
707	0.05399953557
708	0.05394312404
709	0.05388492054
710	0.0538096083
711	0.05372711477
712	0.05360185716
713	0.05352301462
714	0.05342555075
715	0.05335524033
716	0.05328859801
717	0.05319134142
718	0.05312494129
719	0.0530713796
720	0.05298915195
721	0.0529420273
722	0.05283925222
723	0.05278162733
724	0.05269832656
725	0.0525701552
726	0.05246953939
727	0.05236264518
728	0.0522885517
729	0.05223478395
730	0.05218724492
731	0.05210300438
732	0.05198148372
733	0.05192135498
734	0.05185991258
735	0.05178038711
736	0.05171214809
737	0.05167553476
738	0.05157668866
739	0.05151580155
740	0.05141676297
741	0.05134201213
742	0.05126558037
743	0.05119754736
744	0.05113718951
745	0.0510777558
746	0.05096203684
747	0.05088918373
748	0.05081659242
749	0.05073172495
750	0.05065636711
751	0.05054334958
752	0.05045295802
753	0.05038601232
754	0.05033905008
755	0.05026077062
756	0.05019528494
757	0.05010408924
758	0.0500495135
759	0.0499744118
760	0.04990953191
761	0.04981196173
762	0.04977328191
763	0.04973143439
764	0.0496784217
765	0.04961366464
766	0.04956069754
767	0.0494383127
768	0.04935535467
769	0.04925086378
770	0.04919181913
771	0.0491261593
772	0.04906525701
773	0.04903073446
774	0.04896532155
775	0.04891397396
776	0.04884533928
777	0.04876813912
778	0.04867743086
779	0.04861851085
780	0.04856441266
781	0.04852273989
782	0.04848297828
783	0.04835693141
784	0.04831900747
785	0.04827914095
786	0.04823028558
787	0.04817749271
788	0.04811775192
789	0.04806626051
790	0.04795911393
791	0.04786756393
792	0.04781049698
793	0.04773426493
794	0.04767881105
795	0.04762422798
796	0.0476032348
797	0.0475451222
798	0.04747367085
799	0.04742103733
800	0.04735169659
801	0.04726230179
802	0.04719401512
803	0.04711946307
804	0.04709230221
805	0.0470318054
806	0.04697729686
807	0.04691812946
808	0.04687845324
809	0.04681422808
810	0.04677174611
811	0.04670864755
812	0.04666068114
813	0.04662398302
814	0.04657182435
815	0.04650253192
816	0.04641764632
817	0.0463729535
818	0.04632389924
819	0.04627035489
820	0.04620613351
821	0.04613461448
822	0.04605979494
823	0.04602342436
824	0.04595847014
825	0.04590966126
826	0.04586613159
827	0.0458321735
828	0.04578124713
829	0.0456626129
830	0.04563080718
831	0.0455687513
832	0.04550451951
833	0.0454316636
834	0.04533153102
835	0.04525804949
836	0.04521111751
837	0.04513559145
838	0.04509152248
839	0.04506642795
840	0.04501481702
841	0.04493081367
842	0.04489048225
843	0.04484969094
844	0.04477485145
845	0.0447120846
846	0.04466989512
847	0.04461831134
848	0.04457021502
849	0.04450770313
850	0.04446279971
851	0.04441869979
852	0.04435601784
853	0.04430450483
854	0.04422224637
855	0.04418893135
856	0.04412574449
857	0.04409043166
858	0.04405159393
859	0.04402214976
860	0.04393384392
861	0.04388905569
862	0.04382681805
863	0.04375039369
864	0.04370935656
865	0.04366480448
866	0.04358056047
867	0.04353380411
868	0.04347767038
869	0.04342172346
870	0.04338098584
871	0.04332973318
872	0.04329357258
873	0.04326118995
874	0.04319604197
875	0.04315212563
876	0.04308821865
877	0.04303172716
878	0.04298889447
879	0.04295175331
880	0.04290348851
881	0.04283923615
882	0.04278922201
883	0.04271421574
884	0.04260594621
885	0.0425339318
886	0.04249424892
887	0.04245658213
888	0.04242132947
889	0.04233216222
890	0.042288112
891	0.04224906817
892	0.04220642199
893	0.04214627416
894	0.04208357885
895	0.04202878845
896	0.041957357
897	0.04190072917
898	0.04185151953
899	0.04180663739
900	0.04174873874
901	0.04171628734
902	0.0416760966
903	0.04163614567
904	0.04157928048
905	0.04154575704
906	0.04150392319
907	0.04147016097
908	0.0414160746
909	0.04134107781
910	0.04130911055
911	0.04126051179
912	0.04123194316
913	0.04119258787
914	0.0411304696
915	0.0410742005
916	0.04102689116
917	0.04095904203
918	0.04091061372
919	0.04088121425
920	0.04083117867
921	0.04077822563
922	0.04074898102
923	0.04070001402
924	0.04066325829
925	0.04062372019
926	0.04058505807
927	0.04055062428
928	0.04048194171
929	0.04045080901
930	0.04038533184
931	0.04034307878
932	0.04030640559
933	0.04027928617
934	0.04023429515
935	0.04017489872
936	0.04011115179
937	0.04008861618
938	0.04002955577
939	0.03997189962
940	0.03993792965
941	0.03986744854
942	0.03983251121
943	0.03976205311
944	0.03970850674
945	0.03968112052
946	0.03960135619
947	0.03950742946
948	0.03945855039
949	0.03939282875
950	0.039348727
951	0.03931191308
952	0.03923988284
953	0.03918170524
954	0.0391363628
955	0.03910107856
956	0.03903966995
957	0.03897407718
958	0.03893651414
959	0.03889899046
960	0.03886372373
961	0.0388267049
962	0.03877811331
963	0.03872695248
964	0.03868755864
965	0.03865419809
966	0.03857500276
967	0.03852753169
968	0.03846465502
969	0.03841555973
970	0.03837851158
971	0.03834348565
972	0.03831283902
973	0.03828491509
974	0.03822572377
975	0.0381636941
976	0.03810693497
977	0.0380889186
978	0.0380695302
979	0.03803074877
980	0.03799648165
981	0.03795242308
982	0.03790548918
983	0.03784408577
984	0.03779574158
985	0.0377498092
986	0.03770176049
987	0.03763782504
988	0.03760340707
989	0.03754224044
990	0.03749184516
991	0.03742688711
992	0.03736665401
993	0.03731987171
994	0.03728060034
995	0.03724405795
996	0.03719559545
997	0.03716320062
998	0.03711062892
999	0.03705019823

998	0.0344519877
999	0.03441905744
4613321
999	0.03418306019
